date,autoware_contributors,code_contributors,community_contributors
2023/01/30,314,147,270
2023/01/31,314,148,270
2023/02/02,317,148,273
2023/02/05,318,149,273
2023/02/08,318,150,273
2023/02/10,320,151,275
2023/02/15,321,152,276
2023/02/16,321,152,277
2023/02/17,322,152,280
2023/02/21,323,152,281
2023/02/22,324,152,282
2023/02/27,325,152,283
2023/03/01,326,153,285
2023/03/02,328,154,287
2023/03/06,329,154,288
2023/03/07,333,154,292
2023/03/08,334,155,292
2023/03/12,335,155,293
2023/03/13,339,156,296
2023/03/15,341,156,298
2023/03/16,343,156,300
2023/03/17,343,156,301
2023/03/20,345,157,302
2023/03/21,347,157,304
2023/03/22,347,158,304
2023/03/26,347,159,304
2023/03/28,347,160,304
2023/03/29,351,161,307
2023/03/31,352,162,308
2023/04/03,353,163,308
2023/04/04,355,163,310
2023/04/06,355,163,311
2023/04/11,356,163,312
2023/04/12,358,164,313
2023/04/13,359,164,314
2023/04/14,361,164,316
2023/04/17,362,164,317
2023/04/18,363,164,318
2023/04/20,364,164,319
2023/04/24,365,164,320
2023/04/25,366,164,321
2023/04/26,368,165,323
2023/04/28,370,165,325
2023/04/29,371,165,326
2023/05/03,372,165,327
2023/05/07,374,165,329
2023/05/08,375,167,329
2023/05/09,377,167,331
2023/05/10,378,168,334
2023/05/11,379,169,334
2023/05/12,379,170,334
2023/05/13,380,170,335
2023/05/16,381,170,336
2023/05/17,384,171,338
2023/05/19,384,172,338
2023/05/21,385,172,339
2023/05/22,386,172,340
2023/05/23,388,173,341
2023/05/25,388,173,342
2023/05/26,389,173,343
2023/05/30,390,173,344
2023/05/31,392,173,346
2023/06/05,395,173,349
2023/06/06,396,173,350
2023/06/07,397,174,351
2023/06/08,398,174,352
2023/06/09,400,174,354
2023/06/11,401,175,355
2023/06/12,403,176,356
2023/06/13,405,176,358
2023/06/18,406,176,359
2023/06/19,407,176,361
2023/06/20,407,177,361
2023/06/22,408,178,361
2023/06/23,409,178,362
2023/06/25,411,178,364
2023/06/26,412,179,365
2023/06/27,413,179,366
2023/06/28,415,179,368
2023/06/29,416,179,369
2023/06/30,417,180,369
2023/07/01,418,180,370
2023/07/03,419,180,371
2023/07/04,421,180,373
2023/07/05,422,181,374
2023/07/06,423,181,375
2023/07/08,424,181,376
2023/07/10,425,181,377
2023/07/11,426,181,378
2023/07/12,427,181,379
2023/07/14,428,181,380
2023/07/15,429,181,381
2023/07/18,430,182,381
2023/07/19,431,182,382
2023/07/20,432,182,383
2023/07/21,433,182,384
2023/07/23,434,182,385
2023/07/24,435,182,386
2023/07/25,436,182,387
2023/07/27,440,183,391
2023/07/28,441,184,392
2023/08/01,443,186,393
2023/08/02,445,188,394
2023/08/03,448,189,396
2023/08/04,451,189,399
2023/08/07,453,190,400
2023/08/08,453,191,400
2023/08/10,456,191,403
2023/08/16,458,192,404
2023/08/18,460,193,405
2023/08/20,461,193,406
2023/08/21,464,194,409
2023/08/23,465,194,410
2023/08/24,468,195,412
2023/08/25,471,195,415
2023/08/28,472,195,416
2023/08/31,474,196,417
2023/09/04,476,196,419
2023/09/05,478,197,421
2023/09/06,481,197,424
2023/09/07,482,197,425
2023/09/08,482,198,426
2023/09/09,483,198,427
2023/09/11,485,198,429
2023/09/12,487,199,430
2023/09/13,487,200,430
2023/09/14,488,200,431
2023/09/15,492,202,433
2023/09/18,494,203,435
2023/09/20,495,206,435
2023/09/22,496,206,436
2023/09/25,497,206,437
2023/09/26,498,206,438
2023/09/27,500,206,440
2023/10/04,502,206,442
2023/10/05,503,207,443
2023/10/06,505,208,444
2023/10/07,506,209,444
2023/10/10,507,209,445
2023/10/12,508,209,446
2023/10/13,509,209,447
2023/10/15,510,209,448
2023/10/16,512,209,450
2023/10/17,513,210,450
2023/10/18,515,210,453
2023/10/19,517,210,455
2023/10/24,519,211,456
2023/10/25,521,213,456
2023/10/26,522,213,457
2023/10/27,523,213,458
2023/10/29,524,213,459
2023/10/31,525,213,460
2023/11/01,526,213,461
2023/11/06,527,213,462
2023/11/08,529,213,464
2023/11/09,529,214,464
2023/11/13,531,215,465
2023/11/14,534,217,466
2023/11/15,535,217,467
2023/11/16,538,219,469
2023/11/17,539,219,470
2023/11/22,539,220,470
2023/11/27,540,221,471
2023/11/30,541,221,472
2023/12/01,541,222,472
2023/12/05,543,223,473
2023/12/06,545,224,474
2023/12/07,545,224,475
2023/12/08,548,225,477
2023/12/10,549,225,478
2023/12/11,550,225,479
2023/12/13,551,226,479
2023/12/14,553,227,480
2023/12/19,554,228,480
2023/12/20,555,228,481
2023/12/21,555,229,481
2023/12/24,556,229,482
2023/12/26,557,230,482
2023/12/28,558,231,482
2023/12/29,559,231,483
2024/01/02,560,231,484
2024/01/03,561,231,485
2024/01/05,562,231,486
2024/01/10,562,232,486
2024/01/11,562,233,486
2024/01/15,562,234,486
2024/01/16,563,235,486
2024/01/21,564,235,487
2024/01/24,565,235,488
2024/01/25,566,235,489
2024/01/27,567,235,490
2024/01/29,568,236,490
2024/01/31,569,236,491
2024/02/01,570,237,491
2024/02/02,571,237,492
2024/02/06,572,238,492
2024/02/07,572,238,493
2024/02/09,573,238,494
2024/02/13,574,239,494
2024/02/14,575,240,494
2024/02/18,576,240,495
2024/02/20,578,242,496
2024/02/22,580,242,498
2024/02/23,581,243,499
2024/02/24,582,244,499
2024/02/25,583,244,500
2024/02/26,583,245,500
2024/02/28,584,245,501
2024/02/29,587,246,504
2024/03/01,588,248,504
2024/03/02,589,249,505
2024/03/03,591,249,507
2024/03/05,592,249,508
2024/03/11,593,249,509
2024/03/12,594,250,509
2024/03/14,595,250,510
2024/03/15,599,253,512
2024/03/18,599,253,513
2024/03/19,602,253,516
2024/03/20,606,253,520
2024/03/21,610,253,524
2024/03/22,612,253,526
2024/03/25,614,253,529
2024/03/27,617,254,531
2024/03/28,619,254,533
2024/03/29,621,255,535
2024/03/30,622,255,536
2024/03/31,622,256,536
2024/04/01,624,257,537
2024/04/02,625,258,538
2024/04/03,626,258,539
2024/04/04,629,259,541
2024/04/05,630,260,541
2024/04/06,630,261,541
2024/04/08,633,261,544
2024/04/10,634,261,546
2024/04/11,635,261,547
2024/04/12,635,261,548
2024/04/13,636,262,548
2024/04/16,637,262,549
2024/04/17,638,262,550
2024/04/18,639,262,551
2024/04/19,640,262,552
2024/04/22,641,263,553
2024/04/23,643,264,554
2024/04/24,643,264,555
2024/04/25,645,264,557
2024/04/26,645,265,557
2024/05/01,646,266,557
2024/05/04,647,266,558
2024/05/05,648,266,559
2024/05/06,649,266,560
2024/05/07,650,266,561
2024/05/08,652,266,563
2024/05/10,653,267,563
2024/05/11,654,267,564
2024/05/13,655,268,565
2024/05/14,657,269,566
2024/05/15,660,269,569
2024/05/16,660,270,570
2024/05/17,660,270,571
2024/05/19,662,271,572
2024/05/20,663,272,572
2024/05/21,665,273,573
2024/05/22,667,274,575
2024/05/23,668,274,576
2024/05/24,669,274,577
2024/05/26,670,274,578
2024/05/27,673,275,580
2024/05/29,674,275,581
2024/05/30,675,275,582
2024/05/31,677,277,583
2024/06/03,678,277,584
2024/06/05,682,280,585
2024/06/06,685,283,586
2024/06/07,686,283,587
2024/06/10,688,284,588
2024/06/11,689,285,589
2024/06/12,690,285,590
2024/06/13,691,285,591
2024/06/14,692,285,592
2024/06/15,693,286,592
2024/06/17,695,286,594
2024/06/19,695,287,594
2024/06/20,695,287,595
2024/06/21,696,287,597
2024/06/22,697,287,598
2024/06/23,698,287,599
2024/06/24,702,290,601
2024/06/26,707,292,606
2024/06/27,710,292,609
2024/06/28,713,293,612
2024/07/01,714,295,612
2024/07/02,715,295,613
2024/07/03,716,295,614
2024/07/04,717,295,615
2024/07/05,718,296,616
2024/07/08,720,298,616
2024/07/09,722,298,618
2024/07/10,724,299,620
2024/07/12,725,299,622
2024/07/13,726,299,623
2024/07/14,726,300,623
2024/07/15,727,300,624
2024/07/16,727,301,624
2024/07/17,729,301,626
2024/07/18,729,301,627
2024/07/19,730,302,627
2024/07/20,731,303,627
2024/07/21,733,303,629
2024/07/22,735,304,631
2024/07/25,737,305,632
2024/07/26,741,307,634
2024/07/27,742,308,634
2024/07/28,743,308,635
2024/07/29,744,308,636
2024/07/31,745,308,637
2024/08/03,746,308,638
2024/08/05,747,308,639
2024/08/06,748,309,639
2024/08/08,750,310,640
2024/08/12,751,311,641
2024/08/13,753,313,641
2024/08/14,754,313,642
2024/08/19,754,314,643
2024/08/20,755,314,644
2024/08/22,757,315,645
2024/08/25,759,315,647
2024/08/26,761,315,649
2024/08/27,761,315,650
2024/08/30,763,316,651
2024/09/01,764,316,652
2024/09/02,765,317,652
2024/09/03,767,318,653
2024/09/04,768,319,653
2024/09/05,771,319,656
2024/09/08,772,319,657
2024/09/09,773,319,658
2024/09/11,774,319,659
2024/09/12,774,320,659
2024/09/14,776,320,661
2024/09/16,776,320,662
2024/09/18,777,320,663
2024/09/19,779,320,665
2024/09/20,782,320,668
2024/09/21,783,320,669
2024/09/23,785,320,671
2024/09/24,785,320,672
2024/09/26,786,320,673
2024/09/27,787,320,674
2024/09/28,788,320,675
2024/09/29,789,320,676
2024/10/01,790,320,677
2024/10/03,791,320,678
2024/10/05,792,320,679
2024/10/08,794,320,681
2024/10/10,797,321,683
2024/10/13,798,321,684
2024/10/14,799,321,685
2024/10/16,801,322,686
2024/10/17,803,322,688
2024/10/18,808,324,691
2024/10/19,809,324,692
2024/10/22,810,324,693
2024/10/23,811,325,693
2024/10/24,811,326,693
2024/10/25,814,326,696
2024/10/26,816,326,698
2024/10/28,818,327,699
2024/10/29,820,327,701
2024/10/30,821,327,703
2024/10/31,822,327,704
2024/11/01,823,327,705
2024/11/06,824,327,706
2024/11/07,827,328,708
2024/11/11,830,328,711
2024/11/12,831,328,713
2024/11/13,832,328,714
2024/11/14,834,329,715
2024/11/16,835,329,716
2024/11/18,837,329,718
2024/11/21,838,329,719
2024/11/22,841,329,722
2024/11/24,842,329,723
2024/11/25,845,330,725
2024/11/27,847,330,727
2024/11/28,848,330,728
2024/11/29,848,330,729
2024/12/02,851,330,732
2024/12/03,853,330,735
2024/12/04,855,330,737
2024/12/05,856,330,738
2024/12/08,857,331,738
2024/12/09,858,332,739
2024/12/10,859,333,739
2024/12/11,862,333,742
2024/12/12,863,333,743
2024/12/13,864,333,744
2024/12/15,865,333,745
2024/12/16,866,334,745
2024/12/17,867,334,746
2024/12/18,868,334,747
2024/12/22,869,335,747
2024/12/23,871,336,748
2024/12/30,873,336,750
2025/01/02,874,336,751
2025/01/03,875,336,752
2025/01/05,876,336,753
2025/01/06,878,336,755
2025/01/08,879,336,756
2025/01/09,881,336,758
2025/01/10,883,336,760
2025/01/13,884,336,761
2025/01/15,885,336,762
2025/01/17,887,338,762
2025/01/21,888,339,763
2025/01/22,888,339,764
2025/01/23,889,339,765
2025/01/24,890,339,766
2025/01/26,891,339,767
2025/01/27,892,339,768
2025/01/29,893,339,769
2025/01/31,894,339,770
2025/02/04,896,339,772
2025/02/05,898,339,774
2025/02/06,899,339,775
2025/02/07,900,339,776
2025/02/10,903,341,777
2025/02/11,904,341,778
2025/02/12,907,343,779
2025/02/13,908,344,779
2025/02/14,910,344,781
2025/02/15,911,344,782
2025/02/17,912,344,783
2025/02/20,914,344,785
2025/02/26,917,344,788
2025/02/28,918,344,789
2025/03/03,919,344,790
2025/03/05,920,344,791
2025/03/06,922,344,793
2025/03/10,924,345,794
2025/03/11,926,345,796
2025/03/12,926,346,796
2025/03/13,927,347,796
2025/03/14,929,348,797
2025/03/16,930,348,798
2025/03/17,934,349,801
2025/03/18,935,349,802
2025/03/19,936,350,802
2025/03/21,937,350,803
2025/03/23,938,350,804
2025/03/24,942,350,808
2025/03/26,945,352,809
2025/03/27,945,352,810
2025/04/01,947,353,811
2025/04/02,949,354,812
2025/04/04,950,354,813
2025/04/07,951,355,813
2025/04/08,952,356,813
2025/04/09,952,356,814
2025/04/11,953,356,815
2025/04/16,955,358,815
2025/04/18,956,358,816
2025/04/21,957,359,817
2025/04/22,959,359,819
2025/04/23,960,359,820
2025/04/24,960,359,821
2025/04/25,961,359,822
2025/04/28,962,359,823
2025/04/29,962,359,824
2025/05/01,963,359,825
2025/05/05,964,359,826
2025/05/06,965,359,827
2025/05/08,966,360,827
2025/05/09,966,361,827
2025/05/10,966,362,827
2025/05/16,967,363,827
2025/05/17,968,363,828
2025/05/19,969,364,828
2025/05/22,970,365,829
2025/05/24,971,365,830
2025/05/26,974,365,833
2025/05/27,976,366,834
2025/05/28,979,367,836
2025/05/29,981,367,838
2025/05/30,982,368,838
2025/06/04,983,368,839
2025/06/05,983,369,839
2025/06/11,987,370,842
2025/06/12,988,371,842
2025/06/13,991,373,843
2025/06/16,992,373,844
2025/06/18,993,374,844
2025/06/25,996,374,847
2025/06/26,999,375,849
2025/06/30,1000,375,850
2025/07/01,1001,375,851
2025/07/02,1003,376,852
2025/07/04,1004,376,853
2025/07/06,1007,377,855
2025/07/07,1008,377,856
2025/07/10,1009,378,856
2025/07/11,1010,378,857
2025/07/12,1012,379,859
2025/07/14,1013,380,860
2025/07/15,1015,380,862
2025/07/17,1015,380,864
2025/07/21,1017,380,866
2025/07/22,1018,380,867
2025/07/23,1021,380,870
2025/07/25,1022,381,870
2025/07/26,1023,381,871
2025/07/28,1024,381,872
2025/07/29,1024,382,872
2025/07/30,1025,382,873
2025/07/31,1026,383,873
2025/08/01,1027,383,875
2025/08/04,1028,383,876
2025/08/05,1029,383,877
2025/08/06,1030,383,878
2025/08/11,1031,383,879
2025/08/12,1032,384,879
2025/08/13,1036,387,882
2025/08/15,1037,387,883
2025/08/18,1039,387,885
2025/08/19,1039,387,886
2025/08/20,1041,387,888
2025/08/24,1042,387,889
2025/08/26,1043,389,889
2025/08/27,1045,390,890
2025/08/28,1046,390,891
2025/08/29,1046,391,891
2025/08/31,1046,391,892
2025/09/02,1048,391,894
2025/09/03,1049,393,894
2025/09/04,1051,393,896
2025/09/08,1052,393,897
2025/09/10,1056,394,900
2025/09/11,1057,394,901
2025/09/14,1058,394,902
2025/09/16,1059,394,903
2025/09/19,1060,395,904
2025/09/23,1061,395,905
2025/09/24,1062,395,906
2025/09/25,1063,395,907
2025/09/26,1064,395,908
2025/09/28,1065,395,909
2025/10/01,1067,395,911
2025/10/03,1070,395,914
2025/10/06,1077,396,920
2025/10/07,1078,396,921
2025/10/08,1078,397,921
2025/10/10,1079,397,922
2025/10/13,1080,398,922
2025/10/14,1082,399,923
2025/10/20,1084,399,925
2025/10/21,1085,399,926
2025/10/23,1085,400,926
